id,value,object
Negative,1930,275312
Negative,1930,275313
Negative,1930,275314
Negative,1930,275315
Negative,1930,275318
Negative,1930,275319
Negative,1930,275320
Negative,1930,275521
Negative,1930,275522
Negative,1930,275523
Negative,1930,275546
Negative,1930,275553
Negative,1930,275579
Negative,1930,275580
Negative,1930,275584
Negative,1930,275597
Negative,1930,275598
Negative,1930,275628
Negative,1930,275701
Negative,1930,275713
Negative,1930,275847
Negative,1930,275919
Negative,1930,275922
Negative,1930,275932
Negative,1930,275937
Negative,1930,275961
Negative,1930,275962
Negative,1930,275963
Negative,1930,276059
Negative,1937,276073
Negative,1937,276074
Negative,1930,276241
Negative,1930,276265
Negative,1930,276266
Negative,1930,276803
Negative,1930,276805
Negative,1930,276930
Negative,1930,277232
Negative,1930,277235
Negative,1930,277721
Negative,1930,277726
Negative,1930,277815
Negative,1930,278443
Negative,1930,279149
Negative,1930,279150
Negative,1930,279311
Negative,1930,282321
Negative,1930,282322
Photograph,1930,282413
Photograph/ Photobooth strip,1930,282416
Photograph,1930,282836
Diary/ Appointment book,1930,283373
Diary/ Appointment book,1930,283374
Photograph,1930,284799
Negative,1930,273102
Negative,1930,273424
Negative,1930,273807
Negative,1930,273808
Negative,1930,273809
Negative,1930,273810
Negative,1930,273811
Negative,1930,273812
Negative,1930,273813
Negative,1930,273815
Negative,1930,273816
Negative,1930,273817
Negative,1930,273818
Negative,1930,273827
Negative,1930,273828
Negative,1930,273829
Negative,1930,273830
Negative,1930,273831
Negative,1930,273832
Negative,1930,273833
Negative,1930,273834
Negative,1930,273835
Negative,1930,273837
Negative,1930,273838
Negative,1930,273839
Negative,1930,273840
Negative,1930,273841
Negative,1930,273842
Negative,1930,273894
Negative,1930,273895
Negative,1930,273896
Negative,1930,273897
Negative,1930,273898
Negative,1930,273899
Negative,1930,273900
Negative,1930,273901
Negative,1930,273902
Negative,1930,273904
Negative,1930,273905
Negative,1930,273906
Negative,1930,273907
Negative,1930,273908
Negative,1930,273909
Negative,1930,273910
Negative,1930,273911
Negative,1930,273912
Negative,1930,273913
Negative,1930,273915
Negative,1930,273916
Negative,1930,273917
Negative,1930,273918
Negative,1930,273919
Negative,1930,273920
Negative,1930,273921
Negative,1930,273922
Negative,1930,273923
Negative,1930,273926
Negative,1930,273927
Negative,1930,273928
Negative,1930,273929
Negative,1930,273930
Negative,1930,273931
Negative,1930,273932
Negative,1930,273933
Negative,1930,273934
Negative,1930,273935
Negative,1930,273937
Negative,1930,273938
Negative,1930,273939
Negative,1930,273940
Negative,1930,273941
Negative,1930,273942
Negative,1930,273943
Negative,1930,273944
Negative,1930,273945
Negative,1930,273946
Negative,1930,273948
Negative,1930,273949
Negative,1930,273950
Negative,1930,274196
Negative,1930,275667
Negative,1930,275995
Negative,1930,278444
Negative,1930,278445
Negative,1930,279308
Negative,1930,279309
Negative,1930,282323
Negative,1930,282324
Negative,1930,282325
Negative,1936,282326
Photograph,1930,272021
Negative,1930,273232
Negative,1930,273233
Negative,1930,274412
Negative,1930,275929
Manuscript materials,1930,281852
Ephemera,1930,283321
Photograph,1930,263036
Photograph,1930,263037
Photograph,1930,263062
Photograph,1930,263063
Photograph,1930,267289
Photograph,1930,267290
Photograph,1930,267291
Photograph,1930,269482
Photograph,1930,269486
Photograph,1930,269487
Photograph,1930,269488
Photograph,1930,269489
Photograph,1930,269503
Photograph,1930,269504
Photograph,1930,269505
Photograph,1930,269506
Photograph,1930,269507
Photograph,1930,269508
Photograph,1930,269510
Photograph,1930,269512
Photograph,1930,269513
Photograph,1930,269514
Photograph,1930,269515
Photograph,1930,269516
Photograph,1930,269524
Photograph,1930,269525
Photograph,1930,269526
Photograph,1930,269528
Photograph,1930,269533
Photograph,1930,269535
Photograph,1930,269536
Photograph,1930,269537
Photograph,1930,269603
Photograph,1930,269605
Photograph,1930,269606
Photograph,1930,269607
Photograph,1930,269613
Negative,1930,272590
Negative,1930,272591
Negative,1930,272592
Negative,1930,272593
Negative,1930,272594
Negative,1930,272597
Negative,1930,272598
Negative,1930,272605
Negative,1930,272617
Negative,1930,272618
Negative,1930,272619
Negative,1930,272666
Negative,1930,272678
Negative,1930,273638
Negative,1930,273639
Negative,1930,273640
Negative,1930,273641
Negative,1930,273642
Negative,1930,273962
Negative,1930,273963
Negative,1930,273964
Negative,1930,273965
Negative,1930,273966
Negative,1930,273967
Negative,1930,273968
Negative,1930,273971
Negative,1930,273972
Negative,1930,274415
Negative,1930,274416
Negative,1930,274426
Negative,1930,274431
Negative,1930,274432
Negative,1930,274433
Negative,1930,274452
Negative,1930,274485
Negative,1930,274486
Negative,1930,274487
Negative,1930,274488
Negative,1930,274489
Negative,1930,274493
Negative,1930,274494
Negative,1930,274495
Negative,1930,274496
Negative,1930,274497
Negative,1930,274498
Negative,1930,274499
Negative,1930,274500
Negative,1930,274507
Negative,1930,274509
Negative,1930,274510
Negative,1930,274514
Negative,1930,274517
Negative,1930,274518
Negative,1930,274520
Negative,1930,274527
Negative,1930,274528
Negative,1930,274529
Negative,1930,274532
Negative,1930,274533
Negative,1930,274534
Negative,1930,274542
Negative,1930,274547
Negative,1930,274550
Negative,1930,274551
Negative,1930,274553
Negative,1930,274555
Negative,1930,274579
Negative,1930,274580
Negative,1930,274587
Negative,1930,274589
Negative,1930,274590
Negative,1930,274591
Negative,1930,274597
Negative,1930,274606
Negative,1930,274613
Negative,1930,274624
Negative,1930,274636
Negative,1930,274643
Negative,1930,274646
Negative,1930,274647
Negative,1930,274654
