Acquired,Department,Created
40.150.55,American Decorative Arts,1820
40.150.77,American Decorative Arts,1800
40.150.78,American Decorative Arts,1800
40.150.83,American Decorative Arts,1800
40.150.84,American Decorative Arts,1800
40.150.88,American Decorative Arts,1840
40.150.108,American Decorative Arts,1850
40.150.124,American Decorative Arts,1872
40.150.128,American Decorative Arts,1850
40.150.305,American Decorative Arts,1700
40.150.306,American Decorative Arts,1700
42.20.2,American Decorative Arts,1817
52.77.9,American Decorative Arts,1757
52.77.10,American Decorative Arts,1700
52.77.12,American Decorative Arts,1757
52.77.35,American Decorative Arts,1757
52.77.36,American Decorative Arts,1757
52.77.41,American Decorative Arts,1760
52.77.42,American Decorative Arts,1757
52.77.43,American Decorative Arts,1760
1980.502.72,American Decorative Arts,1815
1980.502.75,American Decorative Arts,1815
1980.502.77,American Decorative Arts,1810
15.79.6,American Decorative Arts,1825
10.109.26,American Decorative Arts,1860
"13.7.8a, b",American Decorative Arts,1850
1981.83,American Decorative Arts,1738
13.179.204,American Decorative Arts,1763
17.108.11,American Decorative Arts,1800
17.108.12,American Decorative Arts,1800
52.77.30,American Decorative Arts,1757
52.77.31,American Decorative Arts,1757
18.110.48b,American Decorative Arts,1700
18.110.48c,American Decorative Arts,1700
18.110.48d,American Decorative Arts,1700
18.110.48e,American Decorative Arts,1700
18.110.48f,American Decorative Arts,1700
18.110.48g,American Decorative Arts,1700
14.11.19,American Decorative Arts,1846
14.11.20,American Decorative Arts,1846
14.11.21,American Decorative Arts,1849
1985.40.12,American Decorative Arts,1800
37.132.4,American Decorative Arts,1700
37.132.6,American Decorative Arts,1700
37.132.7,American Decorative Arts,1700
37.132.8,American Decorative Arts,1700
37.132.9,American Decorative Arts,1700
37.132.10,American Decorative Arts,1700
"1972.225.2a, b",American Decorative Arts,1700
"1972.225.3a, b",American Decorative Arts,1700
"1972.225.4a, b",American Decorative Arts,1700
"1972.225.5a, b",American Decorative Arts,1700
"1972.225.6a, b",American Decorative Arts,1700
"1972.225.7a, b",American Decorative Arts,1700
83.2.131,American Decorative Arts,1770
83.2.132,American Decorative Arts,1770
10.60.49,American Decorative Arts,1820
10.125.702a,American Decorative Arts,1670
11.60.155b,American Decorative Arts,1800
11.87.21,American Decorative Arts,1797
11.87.22,American Decorative Arts,1750
11.87.33,American Decorative Arts,1747
11.87.54,American Decorative Arts,1837
11.87.55,American Decorative Arts,1832
11.87.66,American Decorative Arts,1837
11.87.68,American Decorative Arts,1817
11.87.75,American Decorative Arts,1827
11.87.86,American Decorative Arts,1875
12.3.1,American Decorative Arts,1647
13.120.19,American Decorative Arts,1780
13.145.6,American Decorative Arts,1797
13.179.44,American Decorative Arts,1800
17.108.20,American Decorative Arts,1837
17.108.21,American Decorative Arts,1875
17.108.22,American Decorative Arts,1875
20.109.11,American Decorative Arts,1803
22.224.3,American Decorative Arts,1800
22.224.7,American Decorative Arts,1800
22.224.9,American Decorative Arts,1830
22.224.10,American Decorative Arts,1835
27.17.14,American Decorative Arts,1762
27.144,American Decorative Arts,1770
33.120.199,American Decorative Arts,1700
34.100.227,American Decorative Arts,1817
36.136,American Decorative Arts,1850
37.169,American Decorative Arts,1750
38.165.27,American Decorative Arts,1762
39.18.6,American Decorative Arts,1770
39.56.1,American Decorative Arts,1800
39.56.3,American Decorative Arts,1830
39.184.40,American Decorative Arts,1736
39.184.41,American Decorative Arts,1736
39.184.42,American Decorative Arts,1736
41.160.47,American Decorative Arts,1782
42.20.1,American Decorative Arts,1820
42.20.3,American Decorative Arts,1800
43.151,American Decorative Arts,1830
44.110.4,American Decorative Arts,1740
44.110.8,American Decorative Arts,1747
44.110.16,American Decorative Arts,1757
45.13.8,American Decorative Arts,1747
45.13.9,American Decorative Arts,1700
45.35.8,American Decorative Arts,1825
45.35.10,American Decorative Arts,1780
45.35.13,American Decorative Arts,1780
45.35.18,American Decorative Arts,1800
45.35.19,American Decorative Arts,1830
45.64,American Decorative Arts,1825
46.67.5,American Decorative Arts,1800
46.67.6,American Decorative Arts,1800
46.67.7,American Decorative Arts,1800
46.67.27,American Decorative Arts,1736
46.67.31,American Decorative Arts,1736
46.67.32,American Decorative Arts,1736
46.67.33,American Decorative Arts,1736
46.67.34,American Decorative Arts,1736
46.67.35,American Decorative Arts,1736
46.140.3,American Decorative Arts,1850
46.140.7,American Decorative Arts,1850
46.140.8,American Decorative Arts,1850
46.140.9,American Decorative Arts,1850
46.140.29,American Decorative Arts,1850
46.140.149,American Decorative Arts,1830
46.140.204,American Decorative Arts,1885
46.140.205,American Decorative Arts,1886
46.140.206,American Decorative Arts,1886
46.140.209,American Decorative Arts,1886
46.140.211,American Decorative Arts,1885
46.140.213,American Decorative Arts,1885
46.140.214,American Decorative Arts,1882
46.140.216,American Decorative Arts,1882
46.140.217,American Decorative Arts,1885
46.140.770,American Decorative Arts,1870
46.140.771,American Decorative Arts,1880
50.161,American Decorative Arts,1748
51.171.1,American Decorative Arts,1835
51.171.4,American Decorative Arts,1835
51.171.43,American Decorative Arts,1835
51.171.59,American Decorative Arts,1835
51.171.66,American Decorative Arts,1837
51.171.67,American Decorative Arts,1837
51.171.68,American Decorative Arts,1800
51.171.69,American Decorative Arts,1835
51.171.70,American Decorative Arts,1835
51.171.80,American Decorative Arts,1830
51.171.82,American Decorative Arts,1827
51.171.140,American Decorative Arts,1830
51.171.141,American Decorative Arts,1835
51.171.142,American Decorative Arts,1830
51.171.143,American Decorative Arts,1830
51.171.150,American Decorative Arts,1835
51.171.151,American Decorative Arts,1830
51.171.152,American Decorative Arts,1830
51.171.153,American Decorative Arts,1827
51.171.154,American Decorative Arts,1800
51.171.157,American Decorative Arts,1830
51.171.167,American Decorative Arts,1832
51.171.175,American Decorative Arts,1835
51.171.177,American Decorative Arts,1835
51.171.181,American Decorative Arts,1800
51.171.188,American Decorative Arts,1847
51.171.189,American Decorative Arts,1847
68.21,American Decorative Arts,1895
1971.180.1,American Decorative Arts,1817
1971.180.143,American Decorative Arts,1800
1971.180.144,American Decorative Arts,1800
1971.180.145,American Decorative Arts,1736
"1980.502.4a, b",American Decorative Arts,1800
X.407,American Decorative Arts,1800
46.140.539,American Decorative Arts,1870
46.140.554,American Decorative Arts,1870
48.15,American Decorative Arts,1747
24.105,American Decorative Arts,1675
46.140.362,American Decorative Arts,1880
46.140.367,American Decorative Arts,1880
1980.465,American Decorative Arts,1837
33.120.123,American Decorative Arts,1785
1987.26,American Decorative Arts,1894
46.140.671,American Decorative Arts,1870
46.140.692,American Decorative Arts,1870
83.2.129,American Decorative Arts,1870
51.171.144,American Decorative Arts,1835
1984.218.6,American Decorative Arts,1886
1985.19.4,American Decorative Arts,1885
33.120.124,American Decorative Arts,1844
69.121.3,American Decorative Arts,1880
46.140.404,American Decorative Arts,1887
53.199,American Decorative Arts,1811
1981.432.3,American Decorative Arts,1908
33.120.126,American Decorative Arts,1822
38.63,American Decorative Arts,1700
23.80.17,American Decorative Arts,1690
68.186.2,American Decorative Arts,1894
1985.92,American Decorative Arts,1902
26.95,American Decorative Arts,1750
46.140.361,American Decorative Arts,1886
46.140.494,American Decorative Arts,1884
46.140.495,American Decorative Arts,1884
1979.191.2,American Decorative Arts,1850
1986.307.1,American Decorative Arts,1887
40.184.11,American Decorative Arts,1817
51.171.60,American Decorative Arts,1830
69.37.3,American Decorative Arts,1890
46.140.208,American Decorative Arts,1882
46.140.212,American Decorative Arts,1885
34.162,American Decorative Arts,1915
44.25.2,American Decorative Arts,1757
96.17.19,American Decorative Arts,1893
96.17.26,American Decorative Arts,1893
96.17.28,American Decorative Arts,1893
96.17.29,American Decorative Arts,1893
96.17.31,American Decorative Arts,1893
51.121.13,American Decorative Arts,1905
51.121.29,American Decorative Arts,1898
51.121.32,American Decorative Arts,1898
51.121.34,American Decorative Arts,1898
